,Magnet_X,Magnet_Y,Magnet_Z,Accel_X,Accel_Y,Accel_Z,Humidity,Approx_Altitude,Pressure,Temperature,C,B,G,R,Lumosity,Color_Temp_(K),Audio,PIR,label
2020-12-21 21:14:55.030779,21.561999999999998,-1.062,-17.87,-0.23,0.01,9.54,26.394000000000002,80.404,1003.63,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.264,0.0,coffemachineON
2020-12-21 21:14:55.077776,21.561999999999998,-0.75,-19.06,-0.23,0.03,9.53,26.394000000000002,80.404,1003.63,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.34700000000000003,0.0,coffemachineON
2020-12-21 21:14:55.125778,21.561999999999998,-0.75,-17.87,-0.22,0.01,9.54,26.463,80.204,1003.654,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.42,0.0,coffemachineON
2020-12-21 21:14:55.176777,22.375,-0.75,-17.87,-0.25,0.03,9.53,26.463,80.204,1003.654,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.332,0.0,coffemachineON
2020-12-21 21:14:55.225778,22.0,-0.375,-18.25,-0.25,0.02,9.55,26.439,80.293,1003.643,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.28300000000000003,0.0,coffemachineON
2020-12-21 21:14:55.273780,22.0,-1.062,-17.87,-0.22,0.03,9.52,26.439,80.293,1003.643,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.303,0.0,coffemachineON
2020-12-21 21:14:55.320777,21.25,-0.375,-17.56,-0.23,0.03,9.57,26.37,80.027,1003.675,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.28800000000000003,0.0,coffemachineON
2020-12-21 21:14:55.367778,22.0,-1.062,-18.25,-0.23,0.02,9.58,26.37,80.027,1003.675,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.327,0.0,coffemachineON
2020-12-21 21:14:55.416806,21.25,-1.062,-17.87,-0.24,0.0,9.52,26.463,80.584,1003.6080000000001,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.317,0.0,coffemachineON
2020-12-21 21:14:55.475805,22.375,0.0,-19.06,-0.24,0.01,9.53,26.429000000000002,80.17699999999999,1003.6569999999999,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.342,0.0,coffemachineON
2020-12-21 21:14:55.533810,22.0,-0.75,-18.69,-0.23,0.04,9.55,26.429000000000002,80.17699999999999,1003.6569999999999,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.293,0.0,coffemachineON
2020-12-21 21:14:55.591805,21.561999999999998,-0.375,-18.69,-0.23,0.0,9.54,26.463,80.336,1003.638,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.298,0.0,coffemachineON
2020-12-21 21:14:55.649806,22.0,-1.062,-18.69,-0.25,0.02,9.57,26.463,80.336,1003.638,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.254,0.0,coffemachineON
2020-12-21 21:14:55.706806,21.561999999999998,-0.75,-17.56,-0.24,0.01,9.55,26.37,80.27199999999999,1003.6460000000001,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.215,0.0,coffemachineON
2020-12-21 21:14:55.763805,22.375,-0.75,-18.25,-0.24,0.02,9.56,26.497,80.27199999999999,1003.6460000000001,21.12,4.0,1.0,1.0,2.0,0.0,3296.0,0.273,0.0,coffemachineON
