,Magnet_X,Magnet_Y,Magnet_Z,Accel_X,Accel_Y,Accel_Z,Humidity,Approx_Altitude,Pressure,Temperature,C,B,G,R,Lumosity,Color_Temp_(K),Audio,PIR,label
2020-12-21 21:31:00.018626,22.0,-0.75,-18.69,-0.22,0.01,9.56,26.846,81.794,1003.4639999999999,21.1,4.0,1.0,1.0,2.0,0.0,3296.0,0.298,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.065625,22.0,-0.75,-18.69,-0.24,0.01,9.57,26.846,81.794,1003.4639999999999,21.1,4.0,1.0,1.0,2.0,0.0,3296.0,0.273,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.115624,22.375,-0.375,-19.06,-0.24,0.02,9.54,26.893,81.42399999999999,1003.508,21.1,4.0,1.0,1.0,2.0,0.0,3296.0,0.337,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.164623,22.0,0.0,-18.69,-0.23,0.03,9.59,26.893,81.42399999999999,1003.508,21.1,4.0,1.0,1.0,2.0,0.0,3296.0,0.28300000000000003,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.222653,22.75,-0.375,-17.87,-0.23,0.01,9.52,26.822,81.559,1003.492,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.342,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.280653,22.0,-0.75,-17.87,-0.23,0.02,9.52,26.822,81.559,1003.492,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.22899999999999998,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.338676,21.561999999999998,0.0,-18.69,-0.23,0.02,9.54,26.857,81.374,1003.5139999999999,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.303,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.396654,21.561999999999998,-0.75,-18.25,-0.23,0.01,9.57,26.904,81.414,1003.51,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.298,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.447626,22.0,-0.75,-19.06,-0.22,0.01,9.57,26.904,81.414,1003.51,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.28300000000000003,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.496625,22.0,-0.375,-17.87,-0.22,0.02,9.55,26.869,81.27600000000001,1003.5260000000001,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.41,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.546624,21.561999999999998,-0.375,-18.69,-0.23,0.01,9.55,26.869,81.27600000000001,1003.5260000000001,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.322,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.595624,22.375,-0.375,-18.69,-0.24,0.03,9.53,26.869,81.43,1003.508,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.273,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.641624,22.375,-0.375,-19.06,-0.24,0.02,9.53,26.869,81.43,1003.508,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.254,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.688624,21.561999999999998,-0.75,-18.69,-0.24,0.02,9.51,26.846,81.456,1003.505,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.259,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.738625,22.375,-0.75,-17.87,-0.24,0.0,9.55,26.846,81.456,1003.505,21.11,4.0,1.0,1.0,2.0,0.0,3296.0,0.264,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.787624,21.561999999999998,-0.375,-17.87,-0.24,0.03,9.54,26.857,81.345,1003.518,21.1,4.0,1.0,1.0,2.0,0.0,3296.0,0.435,0.0,fridgedoorOpenClosein5sec
2020-12-21 21:31:00.836624,22.375,0.0,-19.37,-0.27,0.02,9.52,26.857,81.345,1003.518,21.1,4.0,1.0,1.0,2.0,0.0,3296.0,0.342,0.0,fridgedoorOpenClosein5sec
