,Magnet_X,Magnet_Y,Magnet_Z,Accel_X,Accel_Y,Accel_Z,Humidity,Approx_Altitude,Pressure,Temperature,C,B,G,R,Lumosity,Color_Temp_(K),Audio,PIR,label
2020-12-10 12:57:01.420153,19.25,-20.0,-63.75,-0.3,0.65,9.44,24.18,-17.317,1015.332,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.18600000000000003,0.0,none
2020-12-10 12:57:01.471257,19.562,-19.25,-64.5,-0.28,0.65,9.46,24.18,-17.317,1015.332,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.171,0.0,none
2020-12-10 12:57:01.523235,18.875,-19.562,-64.06,-0.3,0.66,9.44,24.19,-17.381,1015.3389999999999,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.273,0.0,none
2020-12-10 12:57:01.579230,18.875,-19.25,-64.06,-0.27,0.67,9.43,24.19,-17.381,1015.3389999999999,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.142,0.0,none
2020-12-10 12:57:01.632231,19.562,-18.875,-65.69,-0.27,0.66,9.43,24.203000000000003,-17.333,1015.3330000000001,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.254,0.0,none
2020-12-10 12:57:01.684233,18.562,-18.875,-64.87,-0.28,0.65,9.43,24.203000000000003,-17.333,1015.3330000000001,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.225,0.0,none
2020-12-10 12:57:01.740231,18.875,-19.25,-63.75,-0.27,0.67,9.42,24.133000000000003,-17.249000000000002,1015.323,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.215,0.0,none
2020-12-10 12:57:01.795231,19.25,-19.562,-65.25,-0.29,0.66,9.43,24.203000000000003,-17.402,1015.342,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.2,0.0,none
2020-12-10 12:57:01.852232,18.875,-20.0,-64.06,-0.29,0.66,9.44,24.203000000000003,-17.402,1015.342,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.18600000000000003,0.0,none
2020-12-10 12:57:01.906230,18.562,-19.562,-64.87,-0.28,0.65,9.44,24.18,-17.598,1015.3660000000001,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.18100000000000002,0.0,none
2020-12-10 12:57:01.963231,20.0,-20.0,-63.69,-0.29,0.66,9.46,24.18,-17.598,1015.3660000000001,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.278,0.0,none
2020-12-10 12:57:02.017231,20.0,-19.25,-65.25,-0.28,0.66,9.45,24.168000000000003,-17.302,1015.33,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.18100000000000002,0.0,none
2020-12-10 12:57:02.071230,18.875,-20.0,-63.75,-0.28,0.66,9.47,24.168000000000003,-17.302,1015.33,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.17600000000000002,0.0,none
2020-12-10 12:57:02.127236,19.25,-20.0,-63.75,-0.28,0.65,9.45,24.18,-17.339000000000002,1015.334,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.28800000000000003,0.0,none
2020-12-10 12:57:02.185235,18.875,-20.0,-64.87,-0.29,0.66,9.46,24.18,-17.022000000000002,1015.296,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.205,0.0,none
2020-12-10 12:57:02.242234,18.875,-19.562,-62.56,-0.3,0.67,9.46,24.18,-17.022000000000002,1015.296,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.166,0.0,none
2020-12-10 12:57:02.297233,19.25,-19.562,-64.5,-0.3,0.64,9.43,24.156,-17.18,1015.315,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.215,0.0,none
2020-12-10 12:57:02.354233,18.562,-19.562,-63.75,-0.28,0.66,9.43,24.156,-17.18,1015.315,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.21,0.0,none
2020-12-10 12:57:02.410232,19.562,-19.562,-64.5,-0.29,0.67,9.43,24.156,-17.022000000000002,1015.296,22.27,4.0,1.0,1.0,2.0,0.0,3296.0,0.205,0.0,none
