,Magnet_X,Magnet_Y,Magnet_Z,Accel_X,Accel_Y,Accel_Z,Humidity,Approx_Altitude,Pressure,Temperature,C,B,G,R,Lumosity,Color_Temp_(K),Audio,PIR,label
2020-12-21 20:33:00.033570,27.375,20.686999999999998,-75.25,-0.37,0.72,9.45,26.820999999999998,82.39399999999999,1003.393,22.06,7.0,1.0,2.0,3.0,1.0,2661.0,0.264,0.0,none
2020-12-21 20:33:00.088573,27.75,20.686999999999998,-76.06,-0.37,0.72,9.43,26.820999999999998,82.39399999999999,1003.393,22.06,7.0,1.0,2.0,3.0,1.0,2661.0,0.254,0.0,none
2020-12-21 20:33:00.145572,26.686999999999998,20.375,-76.5,-0.38,0.74,9.43,26.658,82.397,1003.393,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.19,0.0,none
2020-12-21 20:33:00.201576,28.186999999999998,20.686999999999998,-74.87,-0.37,0.72,9.46,26.811,82.389,1003.393,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.239,0.0,none
2020-12-21 20:33:00.257572,27.375,20.686999999999998,-76.06,-0.36,0.72,9.45,26.811,82.389,1003.393,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.327,0.0,none
2020-12-21 20:33:00.314572,27.375,21.061999999999998,-75.25,-0.38,0.73,9.44,26.846,82.304,1003.403,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.244,0.0,none
2020-12-21 20:33:00.369574,27.061999999999998,20.686999999999998,-74.87,-0.37,0.73,9.47,26.846,82.304,1003.403,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.249,0.0,none
2020-12-21 20:33:00.426570,27.375,21.061999999999998,-75.69,-0.38,0.7,9.45,26.903000000000002,82.325,1003.4010000000001,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.264,0.0,none
2020-12-21 20:33:00.485575,27.75,20.686999999999998,-76.37,-0.38,0.71,9.44,26.903000000000002,82.325,1003.4010000000001,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.26899999999999996,0.0,none
2020-12-21 20:33:00.542573,27.375,20.686999999999998,-76.06,-0.37,0.72,9.46,26.775,82.45,1003.3860000000001,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.415,0.0,none
2020-12-21 20:33:00.598569,26.686999999999998,21.375,-76.37,-0.37,0.71,9.47,26.914,82.28299999999999,1003.4060000000001,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.22899999999999998,0.0,none
2020-12-21 20:33:00.656574,27.375,20.686999999999998,-75.69,-0.38,0.71,9.46,26.914,82.28299999999999,1003.4060000000001,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.273,0.0,none
2020-12-21 20:33:00.711571,28.561999999999998,21.061999999999998,-75.69,-0.38,0.71,9.45,27.065,82.146,1003.422,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.22899999999999998,0.0,none
2020-12-21 20:33:00.767572,27.75,20.0,-76.06,-0.37,0.74,9.46,27.065,82.146,1003.422,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.327,0.0,none
2020-12-21 20:33:00.824570,27.061999999999998,20.686999999999998,-76.06,-0.38,0.71,9.43,26.973000000000003,82.146,1003.422,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.254,0.0,none
2020-12-21 20:33:00.879575,27.061999999999998,20.375,-76.5,-0.35,0.72,9.45,26.974,82.291,1003.4010000000001,22.07,7.0,1.0,2.0,3.0,1.0,2661.0,0.249,0.0,none
