,Magnet_X,Magnet_Y,Magnet_Z,Accel_X,Accel_Y,Accel_Z,Humidity,Approx_Altitude,Pressure,Temperature,C,B,G,R,Lumosity,Color_Temp_(K),Audio,PIR,label
2021-01-14 13:22:00.048027,-4.75,15.0,-20.25,-0.02,0.0,9.54,22.576999999999998,66.709,1005.263,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.391,0.0,wipingtable
2021-01-14 13:22:00.097023,-4.375,15.75,-20.25,-0.05,-0.03,9.54,22.576999999999998,66.709,1005.263,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.35200000000000004,0.0,wipingtable
2021-01-14 13:22:00.144028,-4.375,14.25,-19.56,-0.04,-0.02,9.55,22.613000000000003,66.538,1005.284,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.361,0.0,wipingtable
2021-01-14 13:22:00.193039,-4.75,15.0,-20.25,-0.05,-0.01,9.59,22.613000000000003,66.538,1005.284,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.293,0.0,wipingtable
2021-01-14 13:22:00.241025,-5.375,15.375,-20.69,-0.04,-0.01,9.55,22.59,66.538,1005.284,21.91,5.0,1.0,2.0,2.0,1.0,3296.0,0.483,0.0,wipingtable
2021-01-14 13:22:00.289027,-4.0,15.375,-20.25,-0.06,0.0,9.54,22.59,66.538,1005.284,21.91,5.0,1.0,2.0,2.0,1.0,3296.0,0.22899999999999998,0.0,wipingtable
2021-01-14 13:22:00.349055,-5.063,14.25,-19.87,-0.03,-0.01,9.53,22.576999999999998,66.757,1005.258,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.366,0.0,wipingtable
2021-01-14 13:22:00.410051,-4.0,15.375,-19.87,-0.04,-0.05,9.54,22.576999999999998,66.757,1005.258,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.444,0.0,wipingtable
2021-01-14 13:22:00.469049,-4.375,14.562000000000001,-19.87,-0.04,-0.02,9.57,22.555,66.585,1005.278,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.303,0.0,wipingtable
2021-01-14 13:22:00.529051,-4.0,15.0,-19.87,-0.01,-0.02,9.55,22.624000000000002,66.49,1005.29,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.342,0.0,wipingtable
2021-01-14 13:22:00.586061,-5.063,15.375,-20.25,-0.01,-0.03,9.55,22.624000000000002,66.49,1005.29,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.35600000000000004,0.0,wipingtable
2021-01-14 13:22:00.634024,-5.063,15.0,-19.19,-0.02,-0.03,9.56,22.565,66.546,1005.283,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.493,0.0,wipingtable
2021-01-14 13:22:00.683023,-4.375,15.0,-21.5,-0.01,-0.01,9.54,22.565,66.546,1005.283,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.479,0.0,wipingtable
2021-01-14 13:22:00.732023,-3.562,14.562000000000001,-20.25,-0.03,-0.01,9.55,22.601999999999997,66.495,1005.289,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.371,0.0,wipingtable
2021-01-14 13:22:00.782025,-4.75,14.562000000000001,-20.69,-0.03,-0.04,9.58,22.601999999999997,66.495,1005.289,21.9,5.0,1.0,2.0,2.0,1.0,3296.0,0.46399999999999997,0.0,wipingtable
